Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,256,3041604,1.53004e+08,36.7492,240.185,6.23457e+07,3228.82,32,2.68756,45,9,1478,294,1,1,150528,9408,7.30547e+08,111776448,2816.18,282.624,4,126.019,111776448, 8164947, 8164947, 150528, 13.6898, 111776448, 9408, 9408, 9408, 11881, 111776448, 111776448, 3041536, 760384, 1, 2, 23, 2, 1, 1, 1, 16, 16, 16, 12, 14
Resnet50,CONV2_1_1,256,250935,7.52342e+08,51.1888,68.0392,5.77324e+07,3002.72,32,12.8125,64,9,648,6,1,1,200704,4096,1.70734e+07,12845056,2816.18,56.5248,4,126.019,12845056, 3210304, 3210304, 200704, 4.0012, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 200704, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV2_1_2,256,1726887,2.4681e+08,62.2481,252.21,5.77324e+07,3002.72,32,5.39768,77,9,5768,54,1,1,200704,36864,4.35539e+08,107495424,2816.18,56.5248,4,126.019,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 6, 90, 6, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV2_1_3,256,1003719,9.00637e+08,51.1898,56.8374,5.77324e+07,3002.72,32,12.8123,64,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV2_1_Residual,256,25097,4.66236e+07,31.9885,686.101,5.77324e+07,3002.72,32,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,126.019,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV2_2_1,256,1003815,2.49742e+08,51.185,204.951,5.77324e+07,3002.72,32,12.8154,64,9,648,6,1,1,802816,16384,2.05733e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12844096, 12844096, 802816, 4.0003, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV2_2_2,256,1726887,4.95557e+08,62.2481,125.612,5.77324e+07,3002.72,32,5.39768,77,9,5768,54,1,1,200704,36864,2.16919e+08,107495424,2816.18,56.5248,4,126.019,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 6, 90, 6, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV2_2_3,256,1003719,9.00637e+08,51.1898,56.8374,5.77324e+07,3002.72,32,12.8123,64,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV2_2_Residual,256,25097,4.66236e+07,31.9885,686.101,5.77324e+07,3002.72,32,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,126.019,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV2_3_1,256,1003815,2.49742e+08,51.185,204.951,5.77324e+07,3002.72,32,12.8154,64,9,648,6,1,1,802816,16384,2.05733e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12844096, 12844096, 802816, 4.0003, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
