Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,256,1330673,1.53004e+08,83.9999,549.006,4.44287e+08,6230.51,1024,6.14303,105,9,1478,294,1,1,150528,9408,7.30547e+08,111776448,2816.18,282.624,4,3127.71,111776448, 8164947, 8164947, 150528, 13.6898, 111776448, 9408, 9408, 9408, 11881, 111776448, 111776448, 3041536, 760384, 1, 1, 1, 1, 1, 1, 1, 7, 7, 7, 12, 14
Resnet50,CONV2_1_1,256,100353,7.52342e+08,127.999,170.134,4.39674e+08,6004.41,1024,32.0312,160,9,648,6,1,1,200704,4096,1.70734e+07,12845056,2816.18,56.5248,4,3127.71,12845056, 3210304, 3210304, 200704, 4.0012, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV2_1_2,256,139971,2.4681e+08,767.984,3111.63,4.39674e+08,6004.41,1024,66.572,960,9,5768,54,1,1,200704,36864,4.35539e+08,107495424,2816.18,56.5248,4,3127.71,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 256, 12
Resnet50,CONV2_1_3,256,401409,9.00637e+08,128,142.121,4.39674e+08,6004.41,1024,32.0308,160,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV2_1_Residual,256,3137,4.66236e+07,255.918,5489.03,4.39674e+08,6004.41,1024,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,3127.71,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV2_2_1,256,401409,2.49742e+08,128,512.528,4.39674e+08,6004.41,1024,32.0384,160,9,648,6,1,1,802816,16384,2.05733e+08,51380224,2816.18,56.5248,4,3127.71,51380224, 12844096, 12844096, 802816, 4.0003, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV2_2_2,256,139971,4.95557e+08,767.984,1549.74,4.39674e+08,6004.41,1024,66.572,960,9,5768,54,1,1,200704,36864,2.16919e+08,107495424,2816.18,56.5248,4,3127.71,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 256, 12
Resnet50,CONV2_2_3,256,401409,9.00637e+08,128,142.121,4.39674e+08,6004.41,1024,32.0308,160,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV2_2_Residual,256,3137,4.66236e+07,255.918,5489.03,4.39674e+08,6004.41,1024,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,3127.71,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV2_3_1,256,401409,2.49742e+08,128,512.528,4.39674e+08,6004.41,1024,32.0384,160,9,648,6,1,1,802816,16384,2.05733e+08,51380224,2816.18,56.5248,4,3127.71,51380224, 12844096, 12844096, 802816, 4.0003, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV2_3_2,256,139971,4.95557e+08,767.984,1549.74,4.39674e+08,6004.41,1024,66.572,960,9,5768,54,1,1,200704,36864,2.16919e+08,107495424,2816.18,56.5248,4,3127.71,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 256, 12
Resnet50,CONV2_3_3,256,401409,9.00637e+08,128,142.121,4.39674e+08,6004.41,1024,32.0308,160,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV2_3_Residual,256,3137,4.66236e+07,255.918,5489.03,4.39674e+08,6004.41,1024,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,3127.71,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV3_1_1,256,200705,1.35474e+08,127.999,944.826,4.39674e+08,6004.41,1024,32.1534,160,9,648,6,1,1,802816,32768,1.89631e+08,25690112,2816.18,56.5248,4,3127.71,25690112, 6420544, 6420544, 802816, 4.00124, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
Resnet50,CONV3_1_2,256,129795,3.25623e+08,767.982,2358.5,4.39674e+08,6004.41,1024,69.9216,960,9,5768,54,1,1,100352,147456,3.06122e+08,99680256,2816.18,56.5248,4,3127.71,99680256, 8927808, 8927808, 100352, 11.1651, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 173056, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 256, 12
